epsilon_bridge_rate,connected_components_from_zero_modes,spectral_gap,mixing_time_proxy_1_over_gap,continuity_ontologically_unbroken
0.0,2,1.25,0.8,False
1e-10,1,4.000000165348005e-11,24999998966.575012,True
1e-09,1,3.9999979424759257e-10,2500001285.953208,True
1e-08,1,3.99999980681384e-09,250000012.07413557,True
1e-07,1,3.9999995098004805e-08,25000003.063747372,True
1e-06,1,3.9999948787754517e-07,2500003.2007694407,True
1e-05,1,3.999948800336678e-06,250003.2000199176,True
0.0001,1,3.999488049158052e-05,25003.200102335944,True
0.001,1,0.000399488491257594,2503.2010230181836,True
0.01,1,0.003949288884007139,253.21014222321256,True
0.1,1,0.03534428879331364,28.29311422413394,True
1.0,1,0.1619125111600466,6.176174977679916,True
